name,num,difficulty
surf_monolith,34,3590.291
surf_shape,31,3566.131
surf_centipedes,35,3155.090
surf_dune,40,3137.098
surf_prosurf,34,2834.148
surf_gigapede,34,2583.626
surf_exonic,33,2549.077
surf_medley_fix,34,2468.744
surf_kismet,32,2409.440
surf_shibboleth,34,2333.240
surf_monolith,39,2083.106
surf_gigapede,33,1891.756
surf_firedancer,34,1783.773
surf_kvas,34,1745.839
surf_bugs,36,1740.678
surf_vitamin_e,38,1717.966
surf_fiellu_ksf,34,1711.104
surf_cavity,31,1697.901
surf_joutsenlaulu,34,1686.659
surf_antagonist2,36,1655.138
surf_breach,34,1600.673
surf_executioner,31,1569.472,<--------------------------------- tier 10
surf_abandoned,34,1544.334
surf_fornax,34,1543.193
surf_tormentor,40,1539.086
surf_ruse,39,1510.981
surf_nsz_fix,35,1443.766
surf_gigapede,36,1428.167
surf_gigapede,35,1422.601
surf_starvald,33,1416.199
surf_medley_fix,33,1377.758
surf_highlands,34,1358.539
surf_bikini_bottom,34,1337.671
surf_despair,34,1336.598
surf_technical,34,1311.803
surf_bugs,34,1286.404
surf_sinsane2,34,1268.146
surf_jitterbug,33,1257.258
surf_anubis_ksf,34,1249.164
surf_stitched,31,1244.771
surf_dune,32,1232.865
surf_monolith,38,1228.282
surf_monolith,35,1225.114
surf_sinsane2,31,1220.877
surf_monolith,36,1210.569
surf_prosurf,35,1208.650
surf_facility,34,1208.122
surf_tensor2,35,1207.786
surf_smol,34,1204.089
surf_sanctuary,33,1201.631
surf_dune,34,1190.211
surf_starvald,34,1183.296
surf_centipedes,34,1173.784
surf_excess,38,1151.447
surf_blackheart,33,1139.646
surf_hades2,34,1138.758
surf_diet_mountain_dew,32,1138.238
surf_expel,33,1134.735
surf_sinsane_ksf,31,1124.528
surf_chungus_fungus,33,1122.205
surf_vantica,34,1106.218
surf_inferno,32,1087.811
surf_antagonist2,32,1086.463
surf_assail,34,1082.657
surf_thesteve,32,1077.942
surf_prosurf,33,1072.139
surf_gloomy,31,1071.707
surf_technical,32,1066.185
surf_sinsane2,32,1060.848
surf_4am,34,1060.031
surf_dune,35,1059.810
surf_vitamin_e,37,1056.511
surf_tensor2,33,1048.981
surf_remeanian,39,1048.929
surf_anubis_ksf,37,1044.967
surf_strike,31,1044.570
surf_kultur,33,1030.657
surf_spacemonkeys,33,1021.408
surf_hotwheels_fix,38,1020.994
surf_starvald,32,1016.779
surf_starvald,31,1011.302
surf_quake,32,1008.581,<--------------------------------- tier 9
surf_earthmover,32,1007.947
surf_autosave_fix,34,1004.104
surf_monolith,37,1001.011
surf_slate,34,1000.859
surf_cannonball,32,1000.343
surf_mdrn,34,997.231
surf_dune,33,995.859
surf_antagonist,32,995.319
surf_insects,31,992.485
surf_crucible,31,977.636
surf_expel,35,977.007
surf_monolith,40,971.912
surf_hardline,31,962.712
surf_radiant,34,962.119
surf_disappointed_fix,31,961.313
surf_shodan,40,960.744
surf_nightmare,31,959.720
surf_ab,36,953.724
surf_celestial,32,951.427
surf_excess,34,950.989
surf_chungus_fungus,34,949.363
surf_vitamin_e,32,947.083
surf_frus_njv,32,945.105
surf_sinsane2,33,943.635
surf_tensor2,36,943.054
surf_hektik,31,940.935
surf_huh,34,933.419
surf_vacant,31,925.206
surf_selenka2,32,919.491
surf_centipedes,33,919.021
surf_corrosion,36,915.595
surf_antagonist2,37,914.625
surf_hardline,32,911.300
surf_outra,33,910.807
surf_midsommar,34,908.455
surf_goliath,34,904.833
surf_4am,36,901.933
surf_loweffort,31,897.652
surf_shodan,38,896.652
surf_germania,31,895.922
surf_blackheart,31,894.258
surf_firedancer,35,891.719
surf_1024,36,890.335
surf_dune,38,889.450
surf_ofrenda,32,883.292
surf_simpsons2,34,881.434
surf_panta_rhei,32,880.369
surf_happyhug,31,874.543
surf_neoplasma_ksf,32,873.233
surf_queen_of_the_ween,33,868.861
surf_shibboleth,37,861.130
surf_expel,36,860.942
surf_wicked,33,860.136
surf_ruse,34,854.574
surf_anomaly,33,850.492
surf_shambles,31,849.384
surf_radiant,33,848.999
surf_queen_of_the_ween,32,848.415
surf_shade,32,847.975
surf_breach,33,846.751
surf_zeonine,32,843.553
surf_centipedes,32,843.214
surf_angelina,34,842.611
surf_n_turf,33,841.718
surf_anoobis,31,840.975
surf_chungus_fungus,35,840.584
surf_hektik,34,839.519
surf_our,34,835.439
surf_1024,33,835.158
surf_n_turf,39,828.496
surf_pride,37,828.084
surf_citypop,32,826.870
surf_fiellu_ksf,32,824.849
surf_enigma,31,824.448
surf_selenka2,31,823.749
surf_nesquik,36,821.649
surf_fuchnut,33,821.371
surf_runewords2_lod,32,820.158
surf_scarlet_ksf,31,816.571
surf_anoobis,39,815.462
surf_sluice2,32,815.025
surf_shibboleth,38,813.612
surf_valpect,31,807.814
surf_metalpipes,32,807.470
surf_smol,31,807.132
surf_tormentor,34,805.177
surf_perihelion,31,804.604
surf_tormentor,36,804.023
surf_minigolf_ksf,32,803.193
surf_board_this_fix,33,802.632
surf_metalpipes,33,799.008
surf_tycho_fix,34,794.458
surf_pls,34,794.012
surf_queen_of_the_ween,31,793.708
surf_4am,33,792.620
surf_nesquik,35,791.590
surf_fabas,34,789.684
surf_muerto,31,787.669
surf_blackheart,32,787.091
surf_monkeys2,31,786.799
surf_sirius,33,785.573
surf_ofrenda,36,782.733
surf_techslop,31,777.558
surf_polygon,32,777.299
surf_warped,32,776.217
surf_era,31,775.343
surf_corruption,31,775.307
surf_axiom,34,774.696
surf_pyzire_retexture,34,773.091
surf_fungus,34,772.025
surf_spacemonkeys,32,771.615
surf_bugs,35,770.089
surf_sinner_ksf,34,769.334
surf_santorini3,31,768.981
surf_christmas3,31,768.846
surf_agony,31,768.067
surf_polonia,31,767.666
surf_warped,31,767.552
surf_shibboleth,39,767.424
surf_tormentor,33,766.883
surf_tensor2,31,765.791
surf_infrared,35,764.769
surf_sirena,33,762.646
surf_skipalot,32,762.109
surf_era,32,762.059
surf_rocco_v2,32,760.474
surf_remeanian,40,759.981
surf_quake,36,758.804
surf_affliction,40,755.139
surf_carbon,34,754.787
surf_tycho_fix,32,754.255
surf_exonic,32,752.283
surf_n_turf,40,752.103
surf_sedona,32,751.031,<--------------------------------- tier 8
surf_hotwheels_fix,35,750.539
surf_medley_fix,32,749.745
surf_exonic,31,749.687
surf_bikini_bottom,35,748.440
surf_damnation,33,747.869
surf_pls,36,747.629
surf_shibboleth,32,746.523
surf_angelina,36,745.688
surf_insects,32,743.420
surf_quake,33,742.708
surf_monolith,33,742.621
surf_minecraft_fix,31,741.910
surf_funhouse2,35,740.399
surf_embrace,35,737.650
surf_twist,31,736.577
surf_cement,36,735.492
surf_tronia_refix,33,735.121
surf_pls,40,733.486
surf_kultur,36,733.376
surf_1024,38,733.053
surf_ghost_busters,31,732.812
surf_enlightened_ksf,33,732.221
surf_stagejuan_ksf,33,732.120
surf_threnody,32,731.828
surf_kartune,36,730.986
surf_bikini_bottom,33,730.783
surf_paradigm,31,728.636
surf_rewind,34,725.839
surf_insects,33,725.337
surf_lowestbidder,31,724.751
surf_olivia,34,722.890
surf_anomaly,31,722.493
surf_board_this_fix,32,721.735
surf_zen2,35,720.943
surf_anubis_ksf,32,720.637
surf_1024,37,720.202
surf_fungus,33,718.877
surf_shibboleth,36,718.774
surf_remeanian,38,717.781
surf_calibration,31,716.311
surf_quirky,35,716.255
surf_firedancer,36,716.130
surf_techslop,32,715.654
surf_tronia_refix,32,715.300
surf_jaqen2,33,715.176
surf_saturday,32,714.981
surf_crank,34,714.579
surf_fast,33,713.559
surf_rise,34,710.674
surf_tropic_ksf,34,709.862
surf_pride,33,709.670
surf_midsommar,32,708.190
surf_quirky,34,707.583
surf_anubis_ksf,38,707.247
surf_jumble,32,706.163
surf_polygon,34,705.238
surf_quake,35,703.861
surf_theunexpected,31,703.574
surf_brutalist,31,703.544
surf_autonomy,31,703.364
surf_tormentor,39,701.396
surf_sirius,31,700.991
surf_germania,32,700.775
surf_shade,37,698.658
surf_earthmover,31,695.399
surf_spacemonkeys,34,694.814
surf_jitterbug,32,694.702
surf_gary_barlow,31,694.189
surf_ruse,33,693.746
surf_excavation,36,692.264
surf_sirena,32,690.671
surf_affliction,34,689.684
surf_consistenza_diversa,32,689.584
surf_dread,31,689.495
surf_devs_ksf,31,689.447
surf_simpsons2,31,688.183
surf_elysium4,31,688.009
surf_kultur,34,686.822
surf_vienna,35,686.671
surf_pride,32,686.491
surf_pipeline,32,686.210
surf_quirky,39,686.082
surf_1024,35,685.832
surf_mudkip,35,685.147
surf_corruption,35,684.691
surf_elysium4,33,683.218
surf_1024,34,683.109
surf_not_so_prosurf,37,677.026
surf_rewind,33,675.955
surf_infrared,34,675.579
surf_ruse,38,675.123
surf_banana_fix,31,674.486
surf_1024,32,673.915
surf_polonia,32,672.131
surf_eryr2_fix,33,671.629
surf_board_this_fix,34,671.238
surf_hero,34,670.659
surf_inferno,31,669.916
surf_ab,34,668.956
surf_kvas,33,668.934
surf_autosave_fix,31,668.905
surf_nsz_fix,36,668.582
surf_torrential,31,668.246
surf_olivia,35,667.715
surf_shibboleth,40,667.409
surf_vienna,34,667.132
surf_666,36,666.667
surf_illusion,32,665.950
surf_paradigm,32,665.843
surf_rubiks_cube,31,665.838
surf_chromatic,34,662.860
surf_firedancer,37,662.405
surf_ab,35,662.160
surf_cinnamon_fix,31,661.856
surf_listless_ksf,33,661.120
surf_monkeys2,34,660.787
surf_crimson,31,660.678
surf_aphelion,36,660.326
surf_angst,31,659.670
surf_autosave_fix,32,659.490
surf_era,33,658.891
surf_rands,33,658.221
surf_ruse,40,657.622
surf_breach,31,657.371
surf_technical,31,657.276
surf_sirius,32,657.012
surf_vitamin_e,31,656.251
surf_affliction,37,655.499
surf_happyhug,33,654.412
surf_shade,36,654.219
surf_yolo,33,654.113
surf_kultur,31,652.356
surf_ben10,31,651.677
surf_airflow,31,651.220
surf_shade,34,651.138
surf_quirky,37,650.974
surf_technical,33,649.227
surf_salient2,32,648.370
surf_thesteve,31,647.714
surf_shodan,36,647.332
surf_banana_fix,33,646.816
surf_not_so_prosurf,35,646.748
surf_beginner_hell,31,646.442
surf_the_internet,31,646.118
surf_affliction,35,645.734
surf_sandtrap2,34,644.519
surf_4am,35,642.448
surf_kairo,31,641.621
surf_epiphany,32,641.019
surf_tensor2,32,639.887
surf_quirky,33,639.276
surf_eunoia,33,638.929
surf_papertown,35,638.908
surf_weirdcore,32,638.311
surf_quake,39,637.980
surf_oneiric,31,636.724
surf_tronia_refix,34,636.167
surf_embrace,34,635.634
surf_dune,31,635.500
surf_technique,34,635.474
surf_rise,38,635.016
surf_pls,35,634.741
surf_crank,32,634.253
surf_halloween_fix,32,633.562
surf_jagerbomb,32,633.199
surf_shibboleth,33,632.900
